original_index,image,problem,solution,schema,netlist
713,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606DDB0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: The following series RLC circuit with zero initial conditions is excited by a unit impulse function \( \delta(t) \). For \( t > 0 \), the output voltage \( V_c(t) \) is  
**Choices:**  
A. \( \frac{2}{\sqrt{3}} \left(e^{-\frac{1}{2} t} - e^{\frac{\sqrt{3}}{2} t}\right) \)  
B. \( \frac{2}{\sqrt{3}} te^{-\frac{1}{2} t} \)  
C. \( \frac{2}{\sqrt{3}} e^{-\frac{1}{2} t} \cos\left(\frac{\sqrt{3}}{2} t\right) \)  
D. \( \frac{2}{\sqrt{3}} e^{-\frac{1}{2} t} \sin\left(\frac{\sqrt{3}}{2} t\right) \)",D,"V1 V N1 0 δ(t)
L1 L N1 N2 1
R1 R N2 N3 1
C1 C N3 0 1
Labels:
Vc(t) V N3 0","* circuit generated from schema
V1 N1 0 PULSE(0 1 0 1p 1p 1p 100p)
L1 N1 N2 1H
R1 N2 N3 1
C1 N3 0 1F
.end"
714,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606DE70>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Assuming the diodes \( D_1 \) and \( D_2 \) of the circuit shown in the <image> to be ideal, the transfer characteristics of the circuit will be

Choices  
(A) Diagram a  
(B) Diagram b  
(C) Diagram c  
(D) Diagram d
",A,"D1 D N4 N1 NA
R1 R N1 N2 2
V10 V N2 0 10
D2 D N3 N1 NA
V5 V N3 0 5
RL R N1 0 inf
Labels:
Vi V 0 N4
Vo V 0 N1
*option (a) Vo vs Vi graph 
* vo = 10 for vi < 10
* vo = m1*vi +c1 , m1 arbitrary positive for vi >10
*option (b) Vo vs Vi graph 
* vo = 5 for vi < 5
* vo = m2*vi +c2 , m2 arbitrary positive for 5 < vi < 10
* vo = 10 for vi > 10
*option (c) Vo vs Vi graph
vo = 5 for vi < 5
* vo = m3*vi +c3 , m3 arbitrary positive for 5 < vi
*option (d) Vo vs Vi
* vo = m4*vi +c4 , m4 arbitrary positive for vi < 10
* vo = 10 for vi > 10","* circuit generated from schema
V1 N4 0 DC 0
D1 N4 N1 NA
R1 N1 N2 2
V10 N2 0 DC 10
D2 N3 N1 NA
V5 N3 0 DC 5
RL N1 0 1e12
.model NA D Is=1e-14 N=1 Rs=0.1 Cjo=1p M=0.5 Vj=0.75 Eg=1.11 Bv=100 Ibv=1u Tt=2n
.end"
716,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606DF30>,"Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: An asymmetrical periodic pulse train \( v_{in} \) of 10 V amplitude with on-time \( T_{ON} = 1 \,ms \) and off-time \( T_{OFF} = 1 \,\mu s \) is applied to the circuit shown in <image>. The diode \( D_1 \) is ideal.
The difference between the maximum voltage and minimum voltage of the output waveform \( v_o \) (in integer) is __________ V.",10,"Vin V N1 0 NA
C1 C N1 N2 20n
R1 R N2 0 500k
D1 D N2 0 NA
Labels:
vo V N2 0","* circuit generated from schema
V1 N1 0 DC 1
C1 N1 vo 20n
R1 vo 0 500k
D1 vo 0 1n4148
.model 1n4148 D (is=2.495e-09 rs=4.755e-01 n=1.679e+00
+ tt=3.030e-09 cjo=1.700e-12 vj=1 m=1.959e-01
+ bv=1.000e+02 ibv=1.000e-04)
.end"
717,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606E170>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The transformer shown in the figure is an ideal transformer, and all meters are ideal. The primary coil is connected to a generator. If the magnetic induction strength \( B \) inside the generator is reduced to half of its original value, and the internal resistance of the generator coil is negligible, which of the following statements is correct?

Choices:  
A. The readings of both meters become half of their original values  
B. The input power of the transformer becomes half of its original value  
C. The power consumed by \( R \) becomes one-eighth of its original value  
D. The frequency of the alternating current becomes half of its original value
",A,"V1 V N1 N3 NA ; ac
A1 AM N1 N2 NA ; ammeter
*Transformer
L1 L N2 N3 NA
L2 L N4 N5 NA
K1 L1 L2 NA

R R N4 N5 NA
VM1 VM N4 N5 NA ; Voltmeter","* circuit generated from schema
V1 N1 0 AC 1
VAM1 N1 N2 DC 0
L1 N2 0 10m
L2 N4 0 10m
K1 L1 L2 0.999
R1 N4 0 1k
RVM1 N4 0 1G
.end"
718,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606E1D0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, the circuit is in a steady state, and the switch is closed at \( t = 0 \). The time constant of the circuit is ________ms.
",3.3,"V1 V N1 N0 50
S1 S N1 N4 NA
R1 R N4 N2 5
I1 I N0 N2 2
R2 R N2 N3 10
L1 L N3 N0 50m","* circuit generated from schema
V1 N1 0 DC 50
VCTRL NA 0 DC 1
S1 N1 N4 NA 0 SWMOD
R1 N4 N2 5
I1 0 N2 DC 2
R2 N2 N3 10
L1 N3 0 50m
.model SWMOD SW VT=0.5 VH=0 RON=1m ROFF=1e9
.end"
719,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606E290>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: For the two-port network shown in the figure, the impedance (\(Z\)) matrix (in \( \Omega \)) is  
**Choices:**  
A. \(\begin{bmatrix} 6 & 24 \\ 42 & 9 \end{bmatrix}\)  
B. \(\begin{bmatrix} 9 & 8 \\ 8 & 24 \end{bmatrix}\)  
C. \(\begin{bmatrix} 9 & 6 \\ 6 & 24 \end{bmatrix}\)  
D. \(\begin{bmatrix} 42 & 6 \\ 6 & 60 \end{bmatrix}\)",C,"R1 R 1 2 30
R2 R 1 1' 10
R3 R 2 1' 60","* circuit generated from schema
V1 1 0 DC 1
R1 1 2 30
R2 1 0 10
R3 2 0 60
.end"
720,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606E2F0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The figure shows two buck converters connected in parallel. The common input DC voltage for the converters has a value of 100 V. The converters have inductors of identical value. The load resistance is 1 Ω. The capacitor voltage has negligible ripple. Both converters operate in the continuous conduction mode. The switching frequency is 1 kHz, and the switch control signals are as shown. The circuit operates in the steady state. Assuming that the converters share the load equally, the average value of \( i_{S1} \), the current of switch S1 (in Amperes), is ____ (up to 2 decimal places).

Choices  
A. 5.55  
B. 6.85  
C. 7.25  
D. 12.50
",D,"V1 V N1 N2 100
S1 S N1 N3 NA
L1 L N3 N4 NA
D1 D N2 N3 NA
S2 S N1 N5 NA
L2 L N5 N4 NA
D2 D N2 N5 NA
C1 C N4 N2 NA
R1 R N4 N2 1
Labels:
iS1 I N1 N3

*Switch control signals
*S1 1010 ; period 1 ms
*S2 0101 ; period 0.5 ms","* circuit generated from schema
V1 N1 0 DC 100
S1 N1 N3 VCTRL1 0 SWMOD
L1 N3 N4 1m
D1 0 N3 DSTD
S2 N1 N5 VCTRL2 0 SWMOD
L2 N5 N4 1m
D2 0 N5 DSTD
C1 N4 0 100u
R1 N4 0 1
VCTRL1 VCTRL1 0 PULSE(0 5 0 1u 1u 0.5m 1m)
VCTRL2 VCTRL2 0 PULSE(0 5 0 1u 1u 0.25m 0.5m)
.model SWMOD SW(Ron=0.001 Roff=1e9 Vt=2 Vh=0.5)
.model DSTD D(Is=1e-14 N=1 Rs=0.1 Cjo=1p M=0.5)
.end"
721,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606E350>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: Figure (i) shows the circuit diagram of a chopper. The switch \( S \) in the circuit in figure (i) is switched such that the voltage \( v_D \) across the diode has the wave shape as shown in figure (ii). The capacitance \( C \) is large so that the voltage across it is constant. If switch \( S \) and the diode are ideal, the peak-to-peak ripple (in A) in the inductor current is _____. ",2.5,"V1 V N1 0 100
S S N2 N1 NA
D1 D 0 N2 NA
L1 L N2 N3 1m
C1 C N3 0 NA
Load R N3 0 NA
Labels:
vD V N2 0

*Figure (ii)
* VD vs t(ms)
* VD = 1 for 0 <=t<=0.05
* VD = 0 for 0.05 <=t<=0.1
* VD = 1 for 0.1<=t<=0.15
* VD = 0 for 0.15 <=t<=0.2","* circuit generated from schema
V1 V 0 DC 100
S1 N2 V VCTRL 0 SWMOD
D1 N2 0 DMDL
L1 N2 N3 1m
C1 N3 0 10u
RLOAD N3 0 100
VCTRL VCTRL 0 PULSE(1 0 0 1n 1n 50u 100u)
.model SWMOD SW(Ron=1m Roff=1Meg Vt=0.5 Vh=0.1)
.model DMDL D(Is=1e-14 N=1)
.end"
722,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606E470>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the potential at point A, \( V_A \), is 
Choices 
A. 6V  
B. 21V  
C. 15V  
D. 0V
",B,"V1 V A N1 4.5
R1 R N1 N2 6
V2 V N3 N2 1.5
R2 R N3 0 3
Labels:
I I N1 N2 ; I = 2A","* circuit generated from schema
V1 A N1 DC 4.5
R1 N1 N2 6
V2 N3 N2 DC 1.5
R2 N3 0 3
I1 N1 N2 DC 2
.end"
723,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606E590>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the following statement is incorrect ( )
Choices
A. When capacitor \( C_e \) is open, the output amplitude of the circuit will decrease.
B. Introducing direct current negative feedback through \( R_e \) gives the circuit a stable quiescent operating point.
C. When the \(_x0008_eta\) of the triode \( VT \) triples, the \( I_C \) of the circuit also triples.
D. When the circuit experiences distortion, \( R_{b1} \) should be adjusted to eliminate the distortion.
",C,"
Vcc V N1 0 NA
ui V N7 0 NA
C1 C N7 N2 NA
Rb1 R N1 N2 NA
Rb2 R N2 0 NA
Rc R N1 N4 NA
C2 C N4 N5 NA
RL R N5 0 NA
Re R N6 0 NA
Ce C N6 0 NA
VT Q N4 N2 N6 QNPN ; npn transistor
Labels:
uo V N5 0","* circuit generated from schema
VCC N1 0 DC 12
VUI N7 0 DC 0 AC 1
C1 N7 N2 1u
RB1 N1 N2 100k
RB2 N2 0 20k
RC N1 N4 4.7k
C2 N4 N5 1u
RL N5 0 10k
RE N6 0 1k
CE N6 0 100u
QVT N4 N2 N6 QNPN
.model QNPN NPN(IS=1e-14 BF=200 VAF=100 IKF=0.3 ISE=1e-15 NE=2 BR=3 NR=1 VAR=25 RB=100 RC=50 RE=1 CJE=20p TF=400p CJC=10p TR=50n)
.end"
724,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606E770>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the secondary AC voltage of the transformer is 15V. The withstand voltage of capacitor \( C_1 \) and the output voltage of the three-terminal regulator are ( )
Choices
A. 16V, 12V
B. 25V, 12V
C. 16V, -12V
D. 25V, -12V
",B,"*Transformer T
L1 L N5 N6 NA
L2 L N1 N2 NA
K1 L1 L2 NA

VD1 D 0 N1 NA
VD2 D N1 N4 NA
VD3 D N2 N4 NA
VD4 D 0 N2 NA
C1 C N4 0 NA
C2 C N4 0 NA
7812 VR N4 N3 0 ; PIN 1 2 3 respectively
C3 C N3 0 NA
VD5 D N3 N4 NA
R R N3 0 NA
Labels:
u1 V N5 N6 ; primary voltage
u2 V N1 N2 ; secondary voltage","* circuit generated from schema

* Models
.model DRECT D(Is=1e-14 N=1.8 Rs=0.1 Cjo=10p)
.model DZ12 D(Is=1e-12 N=1 Rs=0.5 BV=12 Ibv=1m Cjo=50p)

* Transformer
L1 N5 N6 10m
L2 N1 N2 1m
K1 L1 L2 0.995

* Voltage sources (labels)
V1 N5 N6 DC 1
V2 N1 N2 DC 1

* Bridge rectifier
D1 0 N1 DRECT
D2 N1 N4 DRECT
D3 N2 N4 DRECT
D4 0 N2 DRECT

* Filter capacitors
C1 N4 0 1000u
C2 N4 0 100n

* Regulator 7812 (pins: 1=IN, 2=OUT, 3=GND)
XVR N4 N3 0 7812

* Output capacitor and protection diode
C3 N3 0 100u
D5 N3 N4 DRECT

* Load
R1 N3 0 100

* 7812 subcircuit (simple series-pass with 12 V zener clamp)
.subckt 7812 IN OUT GND
Rpass IN OUT 0.5
Dref OUT GND DZ12
.ends 7812

.end"
726,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606E9B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, if only \( R_L \) increases, the absolute value of the voltage gain will (), and the output resistance will ( ).
Choices
A. increase, remain unchanged 
B. remain unchanged, increase
C. decrease, remain unchanged 
D. increase, decrease
",A,"C1 C N2 N1 NA
RB R N3 N2 NA
RC R N3 N4 NA
C2 C N4 N5 NA
RL R N5 0 NA
Ucc V N3 0 NA
ui V N1 0 NA
T Q N4 N2 0 QNPN ; npn transistor
Labels:
uo V N5 0","* circuit generated from schema
C1 N2 N1 1u
RB N3 N2 100k
RC N3 N4 4.7k
C2 N4 N5 1u
RL N5 0 10k
V1 N3 0 DC 12
V2 N1 0 DC 0
Q1 N4 N2 0 QNPN
.model QNPN NPN (IS=1e-14 BF=100 VAF=100 IKF=0.1 CJE=20p CJC=8p TF=600p TR=100n RB=100 RE=1 RC=1)
.end"
727,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606EA10>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: For the amplifier shown in the figure, the BJT parameters are \( V_{BE} = 0.7 \text{ V} \), \( \beta = 200 \), and thermal voltage \( V_T = 25 \text{ mV} \). The voltage gain \( \left( \frac{v_0}{v_i} \right) \) of the amplifier is

Choices  
A. -232  
B. -153  
C. -420  
D. -90
",A,"VCC V N1 0 12
vi V N6 0 NA
R1 R N1 N2 33k
R2 R N2 0 11k
RC R N1 N3 5k
C1 C N6 N2 1u
C2 C N3 N7 1u
RS R N4 N5 10
RE R N5 0 1k
CE C N5 0 1m
Q1 Q N3 N2 N4 QNPN ; npn transistor
Labels:
vo V N7 0","* circuit generated from schema
VCC N1 0 DC 12
VI N6 0 DC 0
R1 N1 N2 33k
R2 N2 0 11k
RC N1 N3 5k
C1 N6 N2 1u
C2 N3 vo 1u
RS N4 N5 10
RE N5 0 1k
CE N5 0 1m
Q1 N3 N2 N4 QNPN
.model QNPN NPN(IS=1e-14 BF=150 VAF=100 CJE=25p CJC=10p TF=500p)
.end"
728,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606EB30>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, after the switch \( S \) is closed, the operating state of the circuit is (    )
Choices 
A. Conducting  
B. Open circuit  
C. Short circuit  
D. Closed circuit
",C,"R R N1 N1 NA
E V N1 N2 NA
S S N2 N1 NA","* circuit generated from schema
Vg N1 0 DC 0
R1 N1 N2 1k
V1 N1 N3 DC 1
VCTRL NC 0 DC 1
S1 N3 N2 NC 0 SWMOD
.model SWMOD SW(Ron=1 Roff=1Meg Vt=0.5 Vh=0)
.end"
729,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606ED10>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the figure shown, if the power consumed by \( R_1 \) is 2W. The resistance value of \( R_2 \) is ( ) \Omega.
",2,"R1 R N1 N2 NA
R2 R N1 N2 NA
Labels:
U V N1 N2
I I N1 N2 ; 2.5 A current supplied by U
I2 I N1 N2 ; 2A current through R2","* circuit generated from schema
V1 N1 0 DC 1
R1 N1 0 2
R2 N1 0 0.5
.end"
731,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606EE30>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the correct statement is 
Choices 
A. The circuit does not satisfy the phase balance condition and cannot produce self-excited oscillation  
B. The circuit does not satisfy the amplitude balance condition and cannot produce self-excited oscillation  
C. The circuit can produce self-excited oscillation under appropriate parameter settings  
D. The circuit does not satisfy both the amplitude balance condition and the phase balance condition, and cannot produce self-excited oscillation
",C,"R1 R 0 N1 NA
R2 R N4 N2 NA
R3 R N1 N3 NA
L1 L N2 0 NA
L2 L N5 0 NA
K1 L1 L2 NA
C1 C N5 0 NA
C2 C N5 N3 NA
A1 A N4 N1 N3 ; integrated op-amp
Labels:
uo V N3 0","* circuit generated from schema
R1 0 N1 10k
R2 N4 N2 10k
R3 N1 N3 10k
L1 N2 0 10m
L2 N5 0 10m
K1 L1 L2 0.95
C1 N5 0 100n
C2 N5 N3 100n
E1 N3 0 N1 N4 1e6
V1 N4 0 DC 1
.end"
732,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606EF50>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: Consider the circuit shown in <image>. Assuming \( V_{BE1} = V_{EB2} = 0.7 \) volt, the value of the DC voltage \( V_{C2} \) (in volt) is ________  ",0.5,"VCC V N1 0 2.5
V1 V N4 0 1
R1 R N3 N4 10k
R2 R N5 0 1k
Q1 Q N1 N1 N2 QNPN ; npn transistor with beta1 = 100
Q2 Q N5 N3 N2 QPNP ; pnp transistor with beta2 = 50
Labels:
Vc2 V N5 0","* circuit generated from schema
VCC N1 0 DC 2.5
V1 N4 0 DC 1
R1 N3 N4 10k
R2 Vc2 0 1k
Q1 N1 N1 N2 QNPN
Q2 Vc2 N3 N2 QPNP
.model QNPN NPN BF=100 VAF=50 IS=1e-12 RB=100 CJC=.5pF TF=.6ns
.model QPNP PNP BF=50 VAF=50 IS=1e-12 RB=100 CJC=.5pF TF=.6ns
.end"
735,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F250>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: A two-port network, shown in the figure, is described by the following equations:  
\( I_1 = Y_{11}E_1 + Y_{12}E_2 \)  
\( I_2 = Y_{21}E_1 + Y_{22}E_2 \)  
The admittance parameters \( Y_{11}, Y_{12}, Y_{21}, Y_{22} \) for the network shown are  
**Choices:**  
A. 0.5 mho, 1 mho, 2 mho, and 1 mho respectively  
B. \( \frac{1}{3} \) mho, \( \frac{-1}{6} \) mho, \( \frac{-1}{6} \) mho, and \( \frac{1}{3} \) mho respectively  
C. 0.5 mho, 0.5 mho, 1.5 mho, and 2 mho respectively  
D. \( \frac{-2}{5} \) mho, \( \frac{-3}{7} \) mho, \( \frac{3}{7} \) mho, and \( \frac{2}{5} \) mho respectively",B,"R1 R N1 N2 2
R2 R N2 N3 2
R3 R N2 0 2
Labels:
E1 V 0 N1
E2 V 0 N3
I1 I N1 N2
I2 I N3 N2","* circuit generated from schema
R1 N1 N2 2
R2 N2 N3 2
R3 N2 0 2
V1 N1 0 DC 1
V2 N3 0 DC 0
I1 N1 N2 DC 0
I2 N3 N2 DC 0
.end"
736,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F2B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: The equivalent capacitance of the input loop of the circuit shown is  
**Choices:**  
A. 2 µF  
B. 100 µF  
C. 200 µF  
D. 4 µF",A,"R1 R N1 N2 1k
R2 R N2 N3 1k
C1 C N3 0 100u
I I N4 0 49*I1 ; Current controlled current source
R3 R N4 N5 1k
C2 C N5 0 100u
Labels:
I1 I N1 N2
*input loop N1 N2 N3 0 N1","* circuit generated from schema
* 1 V drive source to power the circuit
VDRV VIN 0 DC 1
* zero-volt sensing source for input loop current I(VSEN)
VSEN VIN N1 DC 0
* left branch
R1 N1 N2 1k
R2 N2 N3 1k
C1 N3 0 100u
* current-controlled current source: output = 49 * I(VSEN)
F1 N3 0 VSEN 49
* right branch
R3 N3 N5 1k
C2 N5 0 100u
.end"
737,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F310>,"Hint: Please answer the question requiring an integer and the final value, e.g., 1, 2, 3, at the end.  
Question: Calculate current I\(_4\) in this Darlington pair circuit (shown in this schematic in conventional flow notation), assuming a typical forward base-emitter junction voltage drop of 0.7 volts for each transistor. The current I\(_4\) is ______ mA.",466.0,"V1 V 0 N1 48
R1 R N3 0 100
Q1 Q N1 N1 N2 QPNP ; pnp transistor beta = 90
Q2 Q N1 N2 N3 QPNP ; pnp transistor beta = 25
Labels:
I1 I N1 N1
I2 I Q1B N2 ; base current of Q1
I3 I N2 Q1E ; emitter current of Q1
I4 I 0 N3 ; emitter current of Q2","* circuit generated from schema
V1 N1 0 DC 48
R1 N3 0 100
Q1 Q N1 N1 N2 QPNP90
Q2 Q N1 N2 N3 QPNP25
.model QPNP90 PNP BF=90 IS=1e-14 VAF=50
.model QPNP25 PNP BF=25 IS=1e-14 VAF=50
.end"
738,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F370>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: If the voltage at each electrode of the triode relative to the common terminal is as shown in figure, then the silicon triode in saturation state is ( ).
Choices
A. Figure A
B. Figure B
C. Figure C
D. Figure D
",C,"*option A
V1 V N1 0 12
V2 V N2 0 -0.1
V3 V N3 0 0
Q1 Q N1 N2 N3 QNPN
*option B
V4 V N4 0 5
V5 V N5 0 0.5
V6 V N6 0 0.3
Q2 Q N4 N5 N6 QNPN
*option C
V7 V N7 0 2
V8 V N8 0 -2.3
V9 V N9 0 -3
Q3 Q N7 N8 N9 QNPN
*option D
V10 V N10 0 3.3
V11 V N11 0 3.7
V12 V N12 0 3
Q4 Q N10 N11 N12 QNPN","* circuit generated from schema
* Option A
V1 N1 0 DC 12
V2 N2 0 DC -0.1
V3 N3 0 DC 0
Q1 QA N1 N2 N3 QNPN
* Option B
V4 N4 0 DC 5
V5 N5 0 DC 0.5
V6 N6 0 DC 0.3
Q2 QB N4 N5 N6 QNPN
* Option C
V7 N7 0 DC 2
V8 N8 0 DC -2.3
V9 N9 0 DC -3
Q3 QC N7 N8 N9 QNPN
* Option D
V10 N10 0 DC 3.3
V11 N11 0 DC 3.7
V12 N12 0 DC 3
Q4 QD N10 N11 N12 QNPN
.model QNPN NPN BF=50 VAF=50 IS=1e-12 RB=100 CJE=10p CJC=0.5p TF=0.6n TR=100n
.end"
739,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F3D0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, given \( R_1 = R_2 = 1 \Omega \), when the current source is zero, the current through resistor \( R_1 \) is \( I = ____	ext{A} \).
",-0.5,"V1 V N2 N3 1
R1 R N2 N1 NA
R2 R N3 N1 NA
I1 I N3 N1 1
Labels:
I I N3 N1","* circuit generated from schema
V1 N2 N3 DC 1
R1 N2 0 1k
R2 N3 0 1k
I1 N3 0 DC 1
.end"
740,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F490>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Given the voltage levels at the three terminals of a transistor as shown in figure, the transistor operates in the ( ).
Choices:
A. Saturation region
B. Cutoff region
C. Active region
D. Inverse active region
",C,"V1 V N1 0 7
V2 V N2 0 2
V3 V N3 0 1.3
Q1 Q N1 N2 N3 QNPN","* circuit generated from schema
V1 N1 0 DC 7
V2 N2 0 DC 2
V3 N3 0 DC 1.3
Q1 N1 N2 N3 QNPN
.MODEL QNPN NPN BF=100 VAF=100 IS=1e-15 RB=100
.end"
741,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F550>,"Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: For the circuit shown in the figure in <image>, it is given that \( V_{CE} = \frac{V_{CC}}{2} \). The transistor has \( \beta = 29 \) and \( V_{BE} = 0.7 V \) when the B-E junction is forward biased.
For this circuit, the value of \( \frac{R_B}{R} \) is:",129,"VCC V N1 0 10
R1 R N1 N2 4R
RB R N2 N3 NA
R R N4 0 R
Q1 Q N2 N3 N4 QNPN ; beta = 29","* circuit generated from schema
.param R=1k
V1 N1 0 DC 10
R1 N1 N2 {4*R}
RB N2 N3 100k
RE N4 0 {R}
Q1 N2 N3 N4 QNPN
.model QNPN NPN BF=29
.end"
742,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F5B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the diodes are silicon diodes with a forward voltage drop of 0.7V, \( R1 = 4 \, 	ext{k}\Omega \), and \( R2 = 3 \, 	ext{k}\Omega \). The conduction states of the diodes are 
Choices 
A. Both \( VD1 \) and \( VD2 \) are conducting  
B. Both \( VD1 \) and \( VD2 \) are not conducting  
C. \( VD1 \) is conducting, \( VD2 \) is not conducting  
D. \( VD1 \) is not conducting, \( VD2 \) is conducting
",A,"R1 R N3 N1 NA
VD1 D N3 N4 NA
V1 V N2 N4 12
R2 R N1 N2 NA
VD2 D N5 N1 NA
V2 V N2 N5 4","* circuit generated from schema
R1 N3 N1 1k
D1 N3 N4 DDEF
V1 0 N4 DC 12
R2 N1 0 1k
D2 N5 N1 DDEF
V2 0 N5 DC 4
.model DDEF D(Is=1e-14 N=1)
.end"
743,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F610>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in the figure, if the switch is closed for 1 and open for 0, and the light is on for 1 and off for 0, then the expression for \( Y \) is ( ).
Choices
A. \( AB + C \)
B. \( A + BC \)
C. \( (B + C)A \)
D. \( AC + B \)
",B,"E V N1 N3 NA
A S N1 N2 NA
B S N1 N4 NA
C S N4 N2 NA
Y R N2 N3 NA ; lamp","* circuit generated from schema
VE N1 0 DC 1
RY N2 0 100
VA_ctrl VA 0 DC 5
VB_ctrl VB 0 DC 5
VC_ctrl VC 0 DC 5
SA N1 N2 VA 0 SWMOD
SB N1 N4 VB 0 SWMOD
SC N4 N2 VC 0 SWMOD
.model SWMOD SW(Ron=0.01 Roff=1e6 Vt=2 Vh=0.1)
.end"
744,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F191606F6D0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The i-v characteristics of the diode in the circuit shown in <image> are \( i = \frac{v - 0.7}{500} \) A, \( v \geq 0.7V \) and \( i = 0 \) A, \( v < 0.7V \).

The current in the circuit is

Choices
A. 10 mA
B. 9.3 mA
C. 6.67 mA
D. 6.2 mA
",D,"V1 V N1 N3 10
R1 R N1 N2 1k
D1 D N2 N3 NA
Labels:
i I N2 N3
v V N2 N3","* circuit generated from schema
V1 N1 0 DC 10
R1 N1 N2 1k
D1 N2 0 NA
.model NA D(Is=1e-14 N=1)
.end"
