index,schema,problem,solution,netlist
415,"*SPICE Netlist for circuit 415
I1 VDD 1 DC 1mA
I2 2 0 DC 1mA
M2 2 3 1 1 PMOS W=1u L=1u
M1 1 4 2 2 NMOS W=1u L=1u
R1 6 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(6) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -1 mV
B. -1.613 V
C. 3.226 V
D. 0 V",B,"*SPICE Netlist for circuit 415
I1 VDD 1 DC 1mA
I2 2 0 DC 1mA
M2 2 3 1 1 PMOS W=1u L=1u
M1 1 4 2 2 NMOS W=1u L=1u
R1 6 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(6) V(VDD)
.END"
415,"*SPICE Netlist for circuit 415
I1 VDD 1 DC 1mA
I2 2 0 DC 1mA
M2 2 3 1 1 PMOS W=1u L=1u
M1 1 4 2 2 NMOS W=1u L=1u
R1 6 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(6) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -1 mV
B. 3.226 V
C. -1.613 V
D. 0 V",B,"*SPICE Netlist for circuit 415
I1 VDD 1 DC 1mA
I2 2 0 DC 1mA
M2 2 3 1 1 PMOS W=1u L=1u
M1 1 4 2 2 NMOS W=1u L=1u
R1 6 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(6) V(VDD)
.END"
423,"*SPICE Netlist for circuit 423
C1 0 2 1nF
C2 3 4 1nF
I1 VDD 2 DC 1mA
M2 4 3 0 0 NMOS W=1u L=1u
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. -1 mV
B. 1.001 V
C. 10 V
D. 0 V",B,"*SPICE Netlist for circuit 423
C1 0 2 1nF
C2 3 4 1nF
I1 VDD 2 DC 1mA
M2 4 3 0 0 NMOS W=1u L=1u
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(VDD)
.END"
423,"*SPICE Netlist for circuit 423
C1 0 2 1nF
C2 3 4 1nF
I1 VDD 2 DC 1mA
M2 4 3 0 0 NMOS W=1u L=1u
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 10 V
B. 0 V
C. -1 mV
D. 1.001 V",A,"*SPICE Netlist for circuit 423
C1 0 2 1nF
C2 3 4 1nF
I1 VDD 2 DC 1mA
M2 4 3 0 0 NMOS W=1u L=1u
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(VDD)
.END"
423,"*SPICE Netlist for circuit 423
C1 0 2 1nF
C2 3 4 1nF
I1 VDD 2 DC 1mA
M2 4 3 0 0 NMOS W=1u L=1u
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. 10 V
B. 1.001 V
C. 0 V
D. -1 mV",B,"*SPICE Netlist for circuit 423
C1 0 2 1nF
C2 3 4 1nF
I1 VDD 2 DC 1mA
M2 4 3 0 0 NMOS W=1u L=1u
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(VDD)
.END"
424,"*SPICE Netlist for circuit 424
C1 0 1 1nF
I1 2 0 DC 1mA
M2 1 2 0 0 NMOS W=1u L=1u
M1 VDD 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -655.5 mV
B. -5.947 V
C. -1.311 V
D. -1.655 V",A,"*SPICE Netlist for circuit 424
C1 0 1 1nF
I1 2 0 DC 1mA
M2 1 2 0 0 NMOS W=1u L=1u
M1 VDD 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END"
424,"*SPICE Netlist for circuit 424
C1 0 1 1nF
I1 2 0 DC 1mA
M2 1 2 0 0 NMOS W=1u L=1u
M1 VDD 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -5.947 V
B. -655.5 mV
C. -11.89 V
D. -1.655 V",A,"*SPICE Netlist for circuit 424
C1 0 1 1nF
I1 2 0 DC 1mA
M2 1 2 0 0 NMOS W=1u L=1u
M1 VDD 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END"
425,"*SPICE Netlist for circuit 425
C1 0 1 1nF
I1 1 0 DC 1mA
M2 2 1 0 0 NMOS W=1u L=1u
M1 VDD 2 1 1 NMOS W=1u L=1u
R1 2 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -655.5 mV
B. -1.655 V
C. -1.311 V
D. -5.947 V",A,"*SPICE Netlist for circuit 425
C1 0 1 1nF
I1 1 0 DC 1mA
M2 2 1 0 0 NMOS W=1u L=1u
M1 VDD 2 1 1 NMOS W=1u L=1u
R1 2 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END"
425,"*SPICE Netlist for circuit 425
C1 0 1 1nF
I1 1 0 DC 1mA
M2 2 1 0 0 NMOS W=1u L=1u
M1 VDD 2 1 1 NMOS W=1u L=1u
R1 2 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -5.947 V
B. -1.655 V
C. -11.89 V
D. -655.5 mV",A,"*SPICE Netlist for circuit 425
C1 0 1 1nF
I1 1 0 DC 1mA
M2 2 1 0 0 NMOS W=1u L=1u
M1 VDD 2 1 1 NMOS W=1u L=1u
R1 2 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END"
428,"*SPICE Netlist for circuit 428
C1 2 1 1nF
R1 5 1 1k
V1 5 2 5V

.OP
.PRINT OP V(1) V(2) V(5) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -115.9 µV
B. 109.3 µV
C. -5 V
D. 0 V",A,"*SPICE Netlist for circuit 428
C1 2 1 1nF
R1 5 1 1k
V1 5 2 5V

.OP
.PRINT OP V(1) V(2) V(5) I(V1)
.END"
25,"M1 NMOS N1 N2 0 0 NA
V1 VDD 0 1.9
V2 N3 0 1
V3 N1 0 NA","2. At \(t = 100 \, \text{ns}\), what is the current through the voltage source V1?","2. \(I(V1) = 1.612 \times 10^{-28} \, \text{A}\)","MOSFET circuit

M1 N1 N2 0 0 NMOS
V1 VDD 0 DC 1.9
V2 N3 0 DC 1
V3 N1 0 DC 5

.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.op
.end"
430,"*SPICE Netlist for circuit 430
I1 1 2 DC 1mA
R1 1 2 1k

.OP
.PRINT OP V(1) V(2)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -500 mV
B. 1 V
C. 500 mV
D. 250 mV",C,"*SPICE Netlist for circuit 430
I1 1 2 DC 1mA
R1 1 2 1k

.OP
.PRINT OP V(1) V(2)
.END"
432,"*SPICE Netlist for circuit 432
I1 1 4 DC 1mA
I2 3 6 DC 1mA
R1 1 4 1k
R2 4 1 1k

.OP
.PRINT OP V(1) V(3) V(4) V(6)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 0 V
B. 250 mV
C. -132 mV
D. -250 mV",C,"*SPICE Netlist for circuit 432
I1 1 4 DC 1mA
I2 3 6 DC 1mA
R1 1 4 1k
R2 4 1 1k

.OP
.PRINT OP V(1) V(3) V(4) V(6)
.END"
432,"*SPICE Netlist for circuit 432
I1 1 4 DC 1mA
I2 3 6 DC 1mA
R1 1 4 1k
R2 4 1 1k

.OP
.PRINT OP V(1) V(3) V(4) V(6)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 0 V
B. 250 mV
C. -250 mV
D. -132 mV",C,"*SPICE Netlist for circuit 432
I1 1 4 DC 1mA
I2 3 6 DC 1mA
R1 1 4 1k
R2 4 1 1k

.OP
.PRINT OP V(1) V(3) V(4) V(6)
.END"
432,"*SPICE Netlist for circuit 432
I1 1 4 DC 1mA
I2 3 6 DC 1mA
R1 1 4 1k
R2 4 1 1k

.OP
.PRINT OP V(1) V(3) V(4) V(6)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. 250 mV
B. -132 mV
C. -250 mV
D. 0 V",A,"*SPICE Netlist for circuit 432
I1 1 4 DC 1mA
I2 3 6 DC 1mA
R1 1 4 1k
R2 4 1 1k

.OP
.PRINT OP V(1) V(3) V(4) V(6)
.END"
133,"M2 NMOS N1 0 N2 N2 NA
R1 R N2 0 NA",1. What are the DC voltages at nodes 1 and 2 in the circuit?,"1. V(1) = -2.34 × 10⁻¹¹ V, V(2) = 9.38 × 10⁻³⁷ V.","Simple MOSFET circuit with resistor

M2 N1 0 N2 N2 NMOS
R1 R N2 0 1k

VDD VDD 0 DC 5

.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.op
.end"
433,"*SPICE Netlist for circuit 433
I1 1 2 DC 1mA
M1 1 3 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -327.6 mV
B. 327.6 mV
C. 0 V
D. -655.1 mV",A,"*SPICE Netlist for circuit 433
I1 1 2 DC 1mA
M1 1 3 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3)
.END"
438,"*SPICE Netlist for circuit 438
I1 VDD 1 DC 1mA
I2 1 0 DC 1mA
M1 1 0 0 0 NMOS W=1u L=1u
R1 1 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -1.655 V
B. -655.1 mV
C. -327.6 mV
D. -1.31 V",B,"*SPICE Netlist for circuit 438
I1 VDD 1 DC 1mA
I2 1 0 DC 1mA
M1 1 0 0 0 NMOS W=1u L=1u
R1 1 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(VDD)
.END"
444,"*SPICE Netlist for circuit 444
C1 0 2 1nF
I1 2 0 DC 1mA
M1 3 2 0 0 NMOS W=1u L=1u
R1 3 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -20 V
B. -10 V
C. -5 V
D. 0 V",B,"*SPICE Netlist for circuit 444
C1 0 2 1nF
I1 2 0 DC 1mA
M1 3 2 0 0 NMOS W=1u L=1u
R1 3 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(VDD)
.END"
445,"*SPICE Netlist for circuit 445
I1 VDD 1 DC 1mA
M1 1 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 10.51 V
B. 5.254 V
C. -1 mV
D. 2.627 V",B,"*SPICE Netlist for circuit 445
I1 VDD 1 DC 1mA
M1 1 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END"
445,"*SPICE Netlist for circuit 445
I1 VDD 1 DC 1mA
M1 1 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -1 mV
B. 2.627 V
C. 5.254 V
D. 10.51 V",C,"*SPICE Netlist for circuit 445
I1 VDD 1 DC 1mA
M1 1 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD)
.END"
446,"*SPICE Netlist for circuit 446
I1 2 0 DC 1mA
I2 2 1 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 172.4 mV
B. 689.8 mV
C. -655.1 mV
D. 344.9 mV",D,"*SPICE Netlist for circuit 446
I1 2 0 DC 1mA
I2 2 1 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END"
37,"M1 NMOS VDD N1 N2 N2 NA
R1 R N2 0 NA
V1 V N1 0 +1
Vin V VDD 0 NA",1. What are the voltages at nodes 1 and 2 at the DC operating point?,"1. V(1) = 0.00 V, V(2) = 1.57 V","NMOS source follower with resistor load

M1 VDD N1 N2 N2 NMOS
R1 N2 0 1k
V1 N1 0 DC 1
Vin VDD 0 DC 5

.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.op
.end"
447,"*SPICE Netlist for circuit 447
M1 1 2 0 0 NMOS W=1u L=1u
V1 2 0 5V
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 4.134 V
B. 8.268 V
C. -866.1 µV
D. 5 V",A,"*SPICE Netlist for circuit 447
M1 1 2 0 0 NMOS W=1u L=1u
V1 2 0 5V
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) I(V1)
.END"
447,"*SPICE Netlist for circuit 447
M1 1 2 0 0 NMOS W=1u L=1u
V1 2 0 5V
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 4.134 A
B. -1.732 mA
C. -866.1 µA
D. 5 A",C,"*SPICE Netlist for circuit 447
M1 1 2 0 0 NMOS W=1u L=1u
V1 2 0 5V
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) I(V1)
.END"
449,"*SPICE Netlist for circuit 449
I1 0 2 DC 1mA
M1 1 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 4.292 V
B. 2.146 V
C. 8.583 V
D. 5.292 V",A,"*SPICE Netlist for circuit 449
I1 0 2 DC 1mA
M1 1 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END"
449,"*SPICE Netlist for circuit 449
I1 0 2 DC 1mA
M1 1 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 4.292 V
B. 5.292 V
C. 2.646 V
D. 10.58 V",B,"*SPICE Netlist for circuit 449
I1 0 2 DC 1mA
M1 1 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END"
450,"*SPICE Netlist for circuit 450
I1 1 3 DC 1mA
M1 1 5 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(5)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 655.1 mV
B. 327.6 mV
C. -327.6 mV
D. 0 V",B,"*SPICE Netlist for circuit 450
I1 1 3 DC 1mA
M1 1 5 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(5)
.END"
450,"*SPICE Netlist for circuit 450
I1 1 3 DC 1mA
M1 1 5 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(5)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -327.6 mV
B. -655.1 mV
C. 0 V
D. 327.6 mV",A,"*SPICE Netlist for circuit 450
I1 1 3 DC 1mA
M1 1 5 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(5)
.END"
452,"*SPICE Netlist for circuit 452
I1 1 2 DC 1mA
M1 1 0 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 655.1 mV
B. 163.8 mV
C. 327.6 mV
D. -327.6 mV",C,"*SPICE Netlist for circuit 452
I1 1 2 DC 1mA
M1 1 0 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END"
452,"*SPICE Netlist for circuit 452
I1 1 2 DC 1mA
M1 1 0 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 327.6 mV
B. -163.8 mV
C. -327.6 mV
D. -655.1 mV",C,"*SPICE Netlist for circuit 452
I1 1 2 DC 1mA
M1 1 0 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END"
454,"*SPICE Netlist for circuit 454
I1 1 2 DC 1mA
M1 1 0 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -655.1 mV
B. 327.6 mV
C. -327.6 mV
D. -163.8 mV",C,"*SPICE Netlist for circuit 454
I1 1 2 DC 1mA
M1 1 0 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END"
454,"*SPICE Netlist for circuit 454
I1 1 2 DC 1mA
M1 1 0 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 327.6 mV
B. 163.8 mV
C. -327.6 mV
D. 655.1 mV",A,"*SPICE Netlist for circuit 454
I1 1 2 DC 1mA
M1 1 0 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2)
.END"
459,"*SPICE Netlist for circuit 459
I1 VDD 2 DC 1mA
I2 2 0 DC 1mA
M1 2 6 0 0 NMOS W=1u L=1u
R1 0 2 1k
M2 2 1 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(6) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 0 V
B. -314.7 mV
C. -1.284 V
D. -629.4 mV",D,"*SPICE Netlist for circuit 459
I1 VDD 2 DC 1mA
I2 2 0 DC 1mA
M1 2 6 0 0 NMOS W=1u L=1u
R1 0 2 1k
M2 2 1 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(6) V(VDD)
.END"
464,"*SPICE Netlist for circuit 464
C1 0 2 1nF
I1 2 0 DC 1mA
V1 4 0 5V
R1 4 2 1k

.OP
.PRINT OP V(2) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -1 mV
B. 5 V
C. 4 V
D. 8 V",C,"*SPICE Netlist for circuit 464
C1 0 2 1nF
I1 2 0 DC 1mA
V1 4 0 5V
R1 4 2 1k

.OP
.PRINT OP V(2) V(4) I(V1)
.END"
464,"*SPICE Netlist for circuit 464
C1 0 2 1nF
I1 2 0 DC 1mA
V1 4 0 5V
R1 4 2 1k

.OP
.PRINT OP V(2) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. -1 mA
B. -2 mA
C. 4 A
D. 5 A",A,"*SPICE Netlist for circuit 464
C1 0 2 1nF
I1 2 0 DC 1mA
V1 4 0 5V
R1 4 2 1k

.OP
.PRINT OP V(2) V(4) I(V1)
.END"
584,"M1 NMOS N1 N2 0 0 NA
M2 NMOS N0 N3 N1 N1 NA
RD R VDD N1 NA
RF1 R N2 N4 NA
RS1 R N4 0 NA
RF2 R N3 N5 NA
RS2 R N5 0 NA
Iin I 0 N2 NA","In the given SPICE netlist for circuit 584, what are the DC voltages at nodes 1 and 5?
A. V(1) = 0 V, V(5) = 1 V
B. V(1) = 1.00 V, V(5) = -9.87806e-19 V
C. V(1) = 5 V, V(5) = 0 V
D. V(1) = 2 V, V(5) = 3 V",B,"MOSFET current mirror with feedback resistors

M1 N1 N2 0 0 NMOS
M2 N0 N3 N1 N1 NMOS
RD R VDD N1 1k
RF1 R N2 N4 1k
RS1 R N4 0 1k
RF2 R N3 N5 1k
RS2 R N5 0 1k
Iin I 0 N2 DC 1mA

VDD VDD 0 DC 5

.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.op
.end"
466,"*SPICE Netlist for circuit 466
I1 VDD 4 DC 1mA
I2 4 2 DC 1mA
R1 4 VDD 1k
M1 4 3 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(4) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. 770.1 mV
B. -885 mV
C. 0 V
D. 115 mV",D,"*SPICE Netlist for circuit 466
I1 VDD 4 DC 1mA
I2 4 2 DC 1mA
R1 4 VDD 1k
M1 4 3 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(4) V(VDD)
.END"
467,"*SPICE Netlist for circuit 467
I1 VDD 4 DC 1mA
I2 4 3 DC 1mA
M1 4 1 3 3 NMOS W=1u L=1u
R1 4 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. 115 mV
B. 770.1 mV
C. -885 mV
D. 0 V",A,"*SPICE Netlist for circuit 467
I1 VDD 4 DC 1mA
I2 4 3 DC 1mA
M1 4 1 3 3 NMOS W=1u L=1u
R1 4 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) V(VDD)
.END"
